City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,ust'-ordynskiy,52.805,104.7508,32.97,73,98,7.58,RU,1713748587
320,akdepe,42.0551,59.3788,68.95,34,5,3.87,TM,1713748587
321,teuva,62.4819,21.7416,22.1,86,12,5.23,FI,1713748588
322,enoch,37.7733,-113.0244,72.12,16,0,3.67,US,1713748588
323,mar del plata,-38.0023,-57.5575,56.25,59,100,13.71,AR,1713748461
324,phillip island,-38.4835,145.231,57.88,70,5,7.2,AU,1713748588
325,garrucha,37.1874,-1.8349,56.61,77,0,1.48,ES,1713748589
326,'ain el hadjar,34.7585,0.1453,46.65,92,100,7.29,DZ,1713748589
327,askoy,60.4092,5.226,38.08,60,100,3.0,NO,1713748589
328,peniche,39.3558,-9.3811,60.64,86,53,6.82,PT,1713748589
329,coquimbo,-29.9533,-71.3436,62.04,78,100,2.66,CL,1713748590
330,sovetskaya gavan',48.9723,140.2878,36.75,81,85,11.14,RU,1713748590
331,ulladulla,-35.35,150.4667,67.17,55,0,7.54,AU,1713748590
332,kapuskasing,49.4169,-82.4331,19.36,61,11,6.38,CA,1713748590
333,mizan teferi,6.9833,35.5833,62.26,96,88,3.56,ET,1713748590
334,malakal,9.5334,31.6605,87.17,46,97,6.22,SS,1713748591
335,zarasai,55.7333,26.25,38.5,97,100,12.68,LT,1713748591
336,nemuro,43.3236,145.575,36.86,92,100,8.66,JP,1713748591
337,tual,-5.6667,132.75,84.7,70,93,5.23,ID,1713748591
338,bam,29.106,58.357,70.54,37,73,4.72,IR,1713748591
339,galliano,29.4422,-90.2992,64.38,63,0,15.77,US,1713748592
340,xunchang,28.4543,104.715,61.12,88,100,1.01,CN,1713748592
341,nuuk,64.1835,-51.7216,34.45,88,100,29.53,GL,1713748592
342,cadale,2.7603,46.3222,80.64,70,100,3.38,SO,1713748592
343,gazli,40.1333,63.45,71.89,31,0,2.26,UZ,1713748592
344,tucuma,-0.1833,-50.05,76.96,94,100,4.85,BR,1713748593
345,manokwari,-0.8667,134.0833,83.59,77,77,5.06,ID,1713748593
346,carmo do paranaiba,-19.0008,-46.3161,60.39,79,0,3.2,BR,1713748593
347,putina,-15.4667,-69.4333,47.21,82,8,7.05,PE,1713748593
348,katsuura,35.1333,140.3,61.34,92,100,17.31,JP,1713748593
349,shawinigan,46.5668,-72.7491,37.47,62,32,7.45,CA,1713748594
350,howrah,22.5892,88.3103,86.34,77,100,0.92,IN,1713748594
351,powell,40.1578,-83.0752,42.39,62,19,5.7,US,1713748594
352,labytnangi,66.6572,66.4183,-4.97,92,14,6.33,RU,1713748594
353,khanty-mansiysk,61.0042,69.0019,31.03,95,100,11.99,RU,1713748594
354,turar ryskulov,42.5333,70.3333,58.32,68,99,3.6,KZ,1713748595
355,callao,-12.0667,-77.15,69.76,89,29,9.1,PE,1713748595
356,el calafate,-50.3408,-72.2768,38.3,77,9,6.17,AR,1713748595
357,padang,-0.9492,100.3543,82.36,78,100,2.35,ID,1713748595
358,dongola,19.1667,30.4833,80.13,9,0,12.28,SD,1713748595
359,sept-iles,50.2001,-66.3821,35.13,90,98,1.7,CA,1713748596
360,kindu,-2.95,25.95,70.63,97,58,2.77,CD,1713748596
361,letlhakeng,-24.0944,25.0298,67.75,37,0,6.11,BW,1713748596
362,cuilapa,14.2764,-90.3003,70.27,92,97,1.48,GT,1713748596
363,luis correia,-2.8792,-41.6669,77.76,91,68,6.8,BR,1713748596
364,klyuchi,52.2667,79.1667,56.8,82,69,10.51,RU,1713748597
365,danville,36.586,-79.395,45.54,95,100,3.4,US,1713748597
366,klaksvik,62.2266,-6.589,44.15,81,100,16.2,FO,1713748597
367,korla,41.7597,86.1469,66.6,28,0,8.52,CN,1713748597
368,tofol,5.3248,163.0078,83.25,80,97,15.77,FM,1713748597
369,vernon,50.2581,-119.2691,49.23,55,99,4.45,CA,1713748598
370,gizo,-8.103,156.8419,84.76,73,91,0.72,SB,1713748598
371,copperas cove,31.1241,-97.9031,56.97,62,58,10.33,US,1713748598
372,camayenne,9.535,-13.6878,78.84,74,100,4.07,GN,1713748598
373,ostashkov,57.1467,33.1075,47.05,95,100,11.39,RU,1713748598
374,khovd,48.0056,91.6419,38.93,36,96,2.19,MN,1713748599
