City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,flying fish cove,-10.4217,105.6791,79.09,89,100,22.41,CX,1713836141
83,musoma,-1.5,33.8,67.75,89,100,9.4,TZ,1713836142
84,aral,40.5156,81.2636,69.82,28,37,8.57,CN,1713836142
85,udachny,66.4167,112.4,31.32,99,100,4.18,RU,1713836142
86,bilibino,68.0546,166.4372,16.68,78,99,9.24,RU,1713836142
87,bardai,11.65,7.2333,83.19,39,57,7.29,NG,1713836142
88,bryan,30.6744,-96.37,58.3,67,0,6.73,US,1713835964
89,sao joaquim,-28.2939,-49.9317,55.42,94,100,3.29,BR,1713836143
90,illizi,26.4833,8.4667,68.29,35,30,7.96,DZ,1713836143
91,chibougamau,49.9168,-74.3659,22.46,95,100,8.23,CA,1713836143
92,vadso,70.0744,29.7487,25.47,90,100,14.74,NO,1713836143
93,watari,38.035,140.8511,51.76,82,100,9.48,JP,1713836144
94,ar rutbah,33.0381,40.2848,64.06,41,0,8.75,IQ,1713836144
95,lompoc,34.6391,-120.4579,55.96,84,0,7.61,US,1713836144
96,takelsa,36.7833,10.6333,54.63,72,3,22.32,TN,1713836144
97,mahanje,-9.9333,35.3333,65.75,92,93,1.14,TZ,1713836144
98,kayangel,8.0823,134.7173,83.68,76,99,15.21,PW,1713836145
99,belmonte,-15.8631,-38.8828,77.74,85,0,4.32,BR,1713836145
100,tiksi,71.6872,128.8694,14.5,89,100,11.25,RU,1713836145
101,kone,-21.0595,164.8658,84.22,69,74,6.17,NC,1713836145
102,albany,42.6001,-73.9662,36.57,62,0,4.94,US,1713836145
103,saint-georges,12.0564,-61.7485,80.49,82,96,11.03,GD,1713836146
104,eureka,40.8021,-124.1637,54.73,74,100,3.69,US,1713835991
105,dudinka,69.4058,86.1778,2.26,91,91,10.83,RU,1713836146
106,dhariwal,31.9542,75.3192,79.32,31,4,5.97,IN,1713836146
107,isla del bosque,22.7333,-105.85,72.03,78,0,2.62,MX,1713836146
108,upington,-28.4478,21.2561,66.36,34,78,4.14,ZA,1713836147
109,alice springs,-23.7,133.8833,75.79,40,0,12.48,AU,1713836147
110,xacmaz,41.4635,48.806,61.5,58,16,7.23,AZ,1713836147
111,labytnangi,66.6572,66.4183,5.49,88,73,4.72,RU,1713836147
112,khandyga,62.6667,135.6,43.02,69,100,3.96,RU,1713836147
113,selfoss,63.9331,-20.9971,42.01,62,69,3.47,IS,1713836148
114,kailua-kona,19.6406,-155.9956,78.6,62,12,5.41,US,1713836148
115,horta,38.5333,-28.6333,59.99,88,100,19.48,PT,1713836148
116,lospalos,-8.5186,127.0025,80.56,64,51,8.1,TL,1713836148
117,atafu village,-8.5421,-172.5159,85.59,70,7,8.46,TK,1713836148
118,iqaluit,63.7506,-68.5145,10.18,82,100,14.85,CA,1713836149
119,berezovyy,51.6667,135.7,51.64,47,100,4.74,RU,1713836149
120,afaahiti,-17.75,-149.2833,79.79,81,37,8.93,PF,1713836149
121,kwekwe,-18.9281,29.8149,55.63,40,0,4.72,ZW,1713836149
122,mili,6.0815,171.735,82.18,83,97,18.32,MH,1713836150
123,qaqortoq,60.7167,-46.0333,37.35,70,95,6.55,GL,1713836150
124,kisangani,0.5167,25.2,74.71,77,71,3.47,CD,1713836150
125,taltal,-25.4,-70.4833,66.24,81,15,1.1,CL,1713836150
126,haiku-pauwela,20.9219,-156.3051,74.25,71,6,15.9,US,1713836150
127,acarau,-2.8856,-40.12,78.17,90,100,7.11,BR,1713836151
128,jamestown,42.097,-79.2353,36.77,73,14,5.32,US,1713836151
129,mejit,10.2753,170.8646,81.77,82,100,17.98,MH,1713836151
130,bamboo flat,11.7,92.7167,85.51,67,30,5.79,IN,1713836151
131,antofagasta,-23.65,-70.4,64.26,87,88,5.1,CL,1713836151
132,kapoeta,4.7717,33.5903,80.49,55,81,10.13,SS,1713836152
133,tver,56.8619,35.8931,40.32,71,100,12.44,RU,1713836152
134,weno,7.4515,151.8468,84.29,79,100,17.36,FM,1713836152
135,cabedelo,-6.9811,-34.8339,81.1,81,42,8.12,BR,1713835890
136,enewetak,11.3474,162.3373,82.6,75,96,13.69,MH,1713836152
137,nizhniy odes,63.6445,54.856,12.79,94,100,6.44,RU,1713836153
138,guarapari,-20.6667,-40.4975,73.02,91,0,4.43,BR,1713836153
139,tsiombe,-25.3,45.4833,65.35,93,84,5.3,MG,1713836153
140,sao joao da barra,-21.6403,-41.0511,75.2,87,1,9.42,BR,1713836153
141,batibo,5.8358,9.8553,68.34,87,100,3.83,CM,1713836153
142,penon blanco,24.7897,-104.0369,70.93,43,19,5.19,MX,1713836154
143,san antonio de pale,-1.4014,5.6325,81.95,80,100,2.37,GQ,1713836154
144,fale old settlement,-9.3852,-171.2468,85.41,71,0,7.47,TK,1713836154
145,pisco,-13.7,-76.2167,69.24,88,88,1.28,PE,1713836154
146,sinjai,-5.1241,120.253,82.8,84,89,6.22,ID,1713836154
147,elk,53.8282,22.3647,30.09,95,95,7.11,PL,1713836083
148,prado,-17.3411,-39.2208,75.47,87,0,2.89,BR,1713836155
149,port augusta,-32.5,137.7667,79.2,28,100,14.58,AU,1713836155
150,dalhart,36.0595,-102.5133,70.83,25,20,20.65,US,1713836103
151,broome,42.2506,-75.833,35.67,77,0,0.78,US,1713836155
